Field_ID,User_ID,User_Rating,Field_Name,Field_Rating,Field_Types
19,8049,5,Cililitan Badminton Hall,4.5,Badminton
6,2674,4,Lapangan Bulu Tangkis Patra,4.3,Badminton
14,5883,5,Kuningan Village Futsal Field 1,4.2,Futsal
10,4158,2,AS FUTSAL,4.2,Futsal
5,2327,5,GOR Kurnia Badminton Court,4.1,Badminton
11,4433,2,Futsal Sani,4.5,Futsal
12,4509,5,Futsal Court Cilandak Sport Centre,4.4,Futsal
2,1517,3,Centro Futsal,4.1,Futsal
11,4289,5,Futsal Sani,4.5,Futsal
12,4630,5,Futsal Court Cilandak Sport Centre,4.5,Futsal
1,458,5,Champion Futsal,4.5,Futsal
12,5272,3,Futsal Court Cilandak Sport Centre,4.5,Futsal
12,4538,5,Futsal Court Cilandak Sport Centre,4.2,Futsal
19,7898,5,Cililitan Badminton Hall,4.3,Badminton
16,7058,5,Diaz Badminton Hall,4.5,Badminton
1,895,1,Champion Futsal,4.3,Futsal
14,5747,5,Kuningan Village Futsal Field 1,4.3,Futsal
13,5603,3,Pelangi Futsal,4.3,Futsal
16,7118,4,Diaz Badminton Hall,4.4,Badminton
2,998,5,Centro Futsal,4.2,Futsal
5,2264,5,GOR Kurnia Badminton Court,4.2,Badminton
19,8172,5,Cililitan Badminton Hall,4.2,Badminton
10,3597,5,AS FUTSAL,4.4,Futsal
17,7264,5,Lapangan Bulutangkis Talenta,4.3,Badminton
13,5454,5,Pelangi Futsal,4.3,Futsal
14,5948,5,Kuningan Village Futsal Field 1,4.3,Futsal
14,6698,3,Kuningan Village Futsal Field 1,4.5,Futsal
12,4985,5,Futsal Court Cilandak Sport Centre,4.2,Futsal
5,2336,5,GOR Kurnia Badminton Court,4.5,Badminton
12,4920,5,Futsal Court Cilandak Sport Centre,4.2,Futsal
10,3507,5,AS FUTSAL,4.3,Futsal
14,5994,5,Kuningan Village Futsal Field 1,4.3,Futsal
20,8871,3,Tunas Bugar Badminton Hall,4.3,Badminton
14,6057,5,Kuningan Village Futsal Field 1,4.5,Futsal
12,4565,5,Futsal Court Cilandak Sport Centre,4.5,Futsal
18,7596,5,GOR Badminton Mega Kuningan,4.5,Badminton
1,849,3,Champion Futsal,4.2,Futsal
10,3800,5,AS FUTSAL,4.5,Futsal
12,5019,5,Futsal Court Cilandak Sport Centre,4.3,Futsal
14,6103,5,Kuningan Village Futsal Field 1,4.4,Futsal
2,1005,5,Centro Futsal,4.5,Futsal
1,405,5,Champion Futsal,4.3,Futsal
14,6296,4,Kuningan Village Futsal Field 1,4.3,Futsal
14,5743,5,Kuningan Village Futsal Field 1,4.2,Futsal
5,2407,4,GOR Kurnia Badminton Court,4.2,Badminton
5,2340,5,GOR Kurnia Badminton Court,4.5,Badminton
18,7674,5,GOR Badminton Mega Kuningan,4.3,Badminton
20,8634,5,Tunas Bugar Badminton Hall,4.4,Badminton
2,1449,4,Centro Futsal,4.4,Futsal
2,1480,3,Centro Futsal,4.4,Futsal
17,7274,5,Lapangan Bulutangkis Talenta,4.5,Badminton
6,2604,5,Lapangan Bulu Tangkis Patra,4.6,Badminton
7,2837,5,Supreme Arena Badminton,4.2,Badminton
4,2048,5,Royal Futsal,4.3,Futsal
14,5764,5,Kuningan Village Futsal Field 1,4.4,Futsal
2,1533,3,Centro Futsal,4.3,Futsal
16,7215,3,Diaz Badminton Hall,4.3,Badminton
14,6048,5,Kuningan Village Futsal Field 1,4.3,Futsal
14,6371,4,Kuningan Village Futsal Field 1,4.4,Futsal
17,7249,5,Lapangan Bulutangkis Talenta,4.4,Badminton
17,7328,5,Lapangan Bulutangkis Talenta,4.3,Badminton
13,5553,4,Pelangi Futsal,4.4,Futsal
2,1440,4,Centro Futsal,4.3,Futsal
14,5725,5,Kuningan Village Futsal Field 1,4.5,Futsal
12,5099,4,Futsal Court Cilandak Sport Centre,4.5,Futsal
1,445,5,Champion Futsal,4.3,Futsal
3,1744,5,Planet Futsal,4.5,Futsal
12,4903,5,Futsal Court Cilandak Sport Centre,4.2,Futsal
10,3815,5,AS FUTSAL,4.5,Futsal
12,4596,5,Futsal Court Cilandak Sport Centre,4.3,Futsal
14,6496,4,Kuningan Village Futsal Field 1,4.5,Futsal
1,464,5,Champion Futsal,4.4,Futsal
2,1308,5,Centro Futsal,4.1,Futsal
11,4435,2,Futsal Sani,4.3,Futsal
13,5531,5,Pelangi Futsal,4.1,Futsal
11,4324,5,Futsal Sani,4.3,Futsal
14,6642,3,Kuningan Village Futsal Field 1,4.5,Futsal
1,391,5,Champion Futsal,4.3,Futsal
14,6600,3,Kuningan Village Futsal Field 1,4.6,Futsal
7,2899,4,Supreme Arena Badminton,4.3,Badminton
14,5671,5,Kuningan Village Futsal Field 1,4.2,Futsal
19,8360,3,Cililitan Badminton Hall,4.5,Badminton
1,797,3,Champion Futsal,4.5,Futsal
12,5254,4,Futsal Court Cilandak Sport Centre,4.5,Futsal
12,4836,5,Futsal Court Cilandak Sport Centre,4.5,Futsal
12,4795,5,Futsal Court Cilandak Sport Centre,4.4,Futsal
2,1491,3,Centro Futsal,4.3,Futsal
13,5464,5,Pelangi Futsal,4.4,Futsal
17,7401,4,Lapangan Bulutangkis Talenta,4.4,Badminton
2,1117,5,Centro Futsal,4.5,Futsal
1,441,5,Champion Futsal,4.3,Futsal
13,5572,4,Pelangi Futsal,4.3,Futsal
3,1594,5,Planet Futsal,4.6,Futsal
7,2852,5,Supreme Arena Badminton,4.4,Badminton
2,983,5,Centro Futsal,4.4,Futsal
2,1094,5,Centro Futsal,4.3,Futsal
16,7229,2,Diaz Badminton Hall,4.5,Badminton
12,5142,4,Futsal Court Cilandak Sport Centre,4.5,Futsal
12,4984,5,Futsal Court Cilandak Sport Centre,4.5,Futsal
6,2552,5,Lapangan Bulu Tangkis Patra,4.3,Badminton
3,1959,1,Planet Futsal,4.3,Futsal
16,6967,5,Diaz Badminton Hall,4.4,Badminton
2,1403,4,Centro Futsal,4.4,Futsal
2,1264,5,Centro Futsal,4.3,Futsal
16,7043,5,Diaz Badminton Hall,4.3,Badminton
13,5504,5,Pelangi Futsal,4.6,Futsal
7,2865,5,Supreme Arena Badminton,4.5,Badminton
6,2595,5,Lapangan Bulu Tangkis Patra,4.2,Badminton
10,3594,5,AS FUTSAL,4.4,Futsal
2,1443,4,Centro Futsal,4.3,Futsal
14,5792,5,Kuningan Village Futsal Field 1,4.6,Futsal
8,2981,5,Lapangan Badminton Tomang,4.2,Badminton
10,3610,5,AS FUTSAL,4.5,Futsal
1,147,5,Champion Futsal,4.3,Futsal
14,5929,5,Kuningan Village Futsal Field 1,4.3,Futsal
16,7123,4,Diaz Badminton Hall,4.5,Badminton
1,753,4,Champion Futsal,4.2,Futsal
10,3713,5,AS FUTSAL,4.2,Futsal
19,7876,5,Cililitan Badminton Hall,4.3,Badminton
